Node,Betweenness
Green Park,17656.0
Bond Street,15473.0
Baker Street,13614.0
Victoria LU,10630.0
Waterloo LU,10292.0
Westminster,9903.0
Oxford Circus,9468.0
Euston LU,9446.0
London Bridge LU,9077.0
Southwark,8970.0
Earl's Court,8584.0
Warren Street,8449.0
Sloane Square,8273.0
Finchley Road,8202.0
South Kensington,8184.0
Gloucester Road,8025.0
Wembley Park,7452.0
Liverpool Street LU,6539.0
King's Cross St. Pancras,6307.0
Bank and Monument,6195.0
Bethnal Green LU,6126.0
Barons Court,6071.0
Mile End,6071.0
Hammersmith (DIS),5879.0
Preston Road,5801.0
Northwick Park,5579.0
Stratford,5548.0
Turnham Green,5499.0
Harrow-on-the-Hill,5475.0
Paddington TfL,5358.0
Camden Town,5079.0
Edgware Road (DIS),5058.0
Leyton,4750.0
Leytonstone,4596.0
Acton Town,4132.0
Notting Hill Gate,3834.0
Marble Arch,3575.0
Highbury & Islington,3555.0
Finsbury Park LU,3370.0
Lancaster Gate,3343.0
Bermondsey,3326.0
Holland Park,3282.0
West Ham,3206.0
Canada Water,3113.0
Queensway,3109.0
Warwick Avenue,3084.0
Shepherd's Bush LU,3038.0
Canary Wharf LU,2920.0
Plaistow,2838.0
North Harrow,2838.0
Maida Vale,2838.0
White City,2792.0
North Greenwich,2729.0
Stockwell,2647.0
Kentish Town,2590.0
Upton Park,2590.0
Kilburn Park,2590.0
Pinner,2590.0
South Ealing,2590.0
East Acton,2544.0
Canning Town,2542.0
Pimlico,2373.0
Queen's Park,2340.0
Northfields,2340.0
Northwood Hills,2340.0
East Ham,2340.0
Tufnell Park,2340.0
Snaresbrook,2338.0
North Acton,2308.0
West Harrow,2262.0
Vauxhall LU,2133.0
Northwood,2088.0
Barking,2088.0
Clapham North,2088.0
Kensal Green,2088.0
Boston Manor,2088.0
Chalk Farm,2088.0
Archway,2088.0
South Woodford,2086.0
Rayners Lane,2037.0
Angel,2013.0
Moorgate,1942.0
Old Street,1877.0
Moor Park,1844.0
Woodford,1842.0
Belsize Park,1834.0
Willesden Junction,1834.0
Manor House,1834.0
Osterley,1834.0
Royal Oak,1834.0
Highgate,1834.0
West Brompton,1834.0
Upney,1834.0
Clapham Common,1834.0
Wanstead,1832.0
Kennington,1638.0
Clapham South,1578.0
Turnpike Lane,1578.0
East Finchley,1578.0
Hounslow East,1578.0
Becontree,1578.0
Fulham Broadway,1578.0
Hanger Lane,1578.0
Westbourne Park,1578.0
Hampstead,1578.0
Harlesden,1578.0
Redbridge,1576.0
Finchley Central,1324.0
Stonebridge Park,1320.0
Eastcote,1320.0
Perivale,1320.0
Parsons Green,1320.0
Balham LU,1320.0
Hounslow Central,1320.0
Dagenham Heathway,1320.0
Golders Green,1320.0
Wood Green,1320.0
Ladbroke Grove,1320.0
Gants Hill,1318.0
Ealing Common,1126.0
Brent Cross,1060.0
Greenford,1060.0
Latimer Road,1060.0
Buckhurst Hill,1060.0
Bounds Green,1060.0
Putney Bridge,1060.0
Rickmansworth,1060.0
Wembley Central,1060.0
Hounslow West,1060.0
Ruislip Manor,1060.0
Tooting Bec,1060.0
Dagenham East,1060.0
Newbury Park,1058.0
Tottenham Court Road,954.0
Holborn,873.0
North Ealing,833.0
Elm Park,798.0
Hendon Central,798.0
West Finchley,798.0
Chorleywood,798.0
North Wembley,798.0
Hatton Cross,798.0
Ruislip,798.0
East Putney,798.0
Arnos Grove,798.0
Loughton,798.0
Wood Lane,798.0
Northolt,798.0
Kingsbury,798.0
Seven Sisters,798.0
Tooting Broadway,798.0
Barkingside,796.0
Embankment,773.0
Oval,741.0
Chancery Lane,591.0
High Street Kensington,580.0
Park Royal,573.0
Chalfont & Latimer,535.0
Woodside Park,534.0
Gunnersbury,534.0
Ickenham,534.0
South Ruislip,534.0
Shepherd's Bush Market,534.0
South Kenton,534.0
Debden,534.0
Southfields,534.0
Tottenham Hale LU,534.0
Queensbury,534.0
Colliers Wood,534.0
Colindale,534.0
Southgate,534.0
Hornchurch,534.0
Fairlop,532.0
West Hampstead LU,530.0
St. Paul's,473.0
Tower Hill,453.0
Temple,396.0
Bayswater,352.0
Alperton,318.0
Piccadilly Circus,299.0
Oakwood,268.0
Kenton,268.0
Ruislip Gardens,268.0
Canons Park,268.0
Heathrow Terminals 123 LU,268.0
Totteridge & Whetstone,268.0
Hillingdon,268.0
Burnt Oak,268.0
Blackhorse Road,268.0
Nine Elms,268.0
Kew Gardens,268.0
Upminster Bridge,268.0
South Wimbledon,268.0
Croxley,268.0
Goldhawk Road,268.0
Wimbledon Park,268.0
Theydon Bois,268.0
Kilburn,267.0
Roding Valley,267.0
Hainault,266.0
Neasden,265.0
Caledonian Road,254.0
Marylebone LU,244.0
St. John's Wood,232.0
Bow Road,229.0
West Acton,228.0
Hyde Park Corner,226.0
Aldgate East,226.0
South Harrow,223.0
Farringdon,194.0
Blackfriars LU,183.0
Cannon Street LU,136.0
Leicester Square,96.0
Great Portland Street,86.0
Euston Square,86.0
Russell Square,86.0
Stepney Green,79.0
Sudbury Town,69.0
Borough,63.0
Charing Cross LU,61.0
Barbican,57.0
Mansion House,53.0
Knightsbridge,41.0
Whitechapel,39.0
Swiss Cottage,36.0
Edgware Road (Bak),23.0
Sudbury Hill,19.0
Bromley-by-Bow,16.0
Elephant & Castle LU,15.0
Arsenal,13.0
Ealing Broadway,6.0
Willesden Green,3.0
Dollis Hill,2.0
Holloway Road,1.0
Chigwell,1.0
St. James's Park,0.0
Aldgate,0.0
Morden,0.0
Amersham,0.0
Upminster,0.0
West Ruislip,0.0
Regent's Park,0.0
Stamford Brook,0.0
Epping,0.0
West Kensington,0.0
Battersea Power Station,0.0
Mill Hill East,0.0
Lambeth North,0.0
Kensington (Olympia),0.0
Hammersmith (H&C),0.0
Goodge Street,0.0
Chiswick Park,0.0
Watford,0.0
Covent Garden,0.0
Ravenscourt Park,0.0
Cockfosters,0.0
Grange Hill,0.0
Harrow & Wealdstone,0.0
Chesham,0.0
Heathrow Terminal 4 LU,0.0
Stanmore,0.0
Heathrow Terminal 5 LU,0.0
High Barnet,0.0
Uxbridge,0.0
Mornington Crescent,0.0
Edgware,0.0
Brixton LU,0.0
Richmond,0.0
Walthamstow Central,0.0
Wimbledon,0.0
