Node,Percentage_Affected,Average_Extra_Stops
Green Park,20.994178752150038,2.1070134363318367
Westminster,16.508647137817338,1.6876774676493738
Earl's Court,8.071756662098888,inf
Gloucester Road,7.16987618829832,2.6879898959337623
Bethnal Green LU,8.128880161630796,1.985449076934118
Northwick Park,2.258824644868383,11.705392817183055
Camden Town,5.374250508149996,inf
Notting Hill Gate,4.199089444103675,6.143586488017006
Bermondsey,4.8903379327428675,4.3004475885814415
Warwick Avenue,1.451584076962088,inf
Maida Vale,1.2721285537486389,inf
